prompt_id,caption,split,seed,bpm,keyscale,timesignature
p03_piano_marimba__v04,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Emphasize gentle repetition with subtle timbral evolution and no breakdowns.",train,,88,,4
p03_piano_marimba__v05,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Use smooth four-bar phrases and avoid abrupt harmonic or rhythmic changes.",train,,88,,4
p03_piano_marimba__v06,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Keep the foreground minimal while the accompaniment remains even and predictable.",train,,88,,4
p03_piano_marimba__v07,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Favor long connected layers with soft attacks and controlled high frequencies.",train,,88,,4
p03_piano_marimba__v08,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Use understated recurring motifs with low contrast between adjacent sections.",train,,88,,4
p03_piano_marimba__v09,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Maintain an unbroken concentration-friendly flow with restrained bass movement.",train,,88,,4
p03_piano_marimba__v10,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Use gradual harmonic motion and a consistent pulse without fills or drops.",train,,88,,4
p03_piano_marimba__v11,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Keep musical events evenly spaced with soft articulation and limited ornamentation.",train,,88,,4
p03_piano_marimba__v12,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Favor warm balanced sonorities and slow texture changes without climactic gestures.",train,,88,,4
p03_piano_marimba__v13,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Use a stable meter and quiet recurring figures with smooth phrase boundaries.",train,,88,,4
p03_piano_marimba__v14,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Maintain low distraction through simple voicing and gently evolving ambience.",train,,88,,4
p03_piano_marimba__v15,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Keep density moderate and consistent with no sudden pauses or prominent solos.",train,,88,,4
p03_piano_marimba__v16,"Instrumental focus music with piano and soft marimba, stable pulse, limited melodic range, gentle transitions, no vocals. Use calm cyclical phrasing and subtle variation while preserving an even energy level.",train,,88,,4
p04_piano_strings__v01,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Keep the arrangement sparse and continuous with gradual eight-bar changes.",development,,76,,4
p04_piano_strings__v02,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Use a narrow melodic range and seamless transitions without dramatic accents.",development,,76,,4
p04_piano_strings__v03,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Maintain restrained dynamics and a stable background texture throughout.",development,,76,,4
p04_piano_strings__v04,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Emphasize gentle repetition with subtle timbral evolution and no breakdowns.",development,,76,,4
p04_piano_strings__v05,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Use smooth four-bar phrases and avoid abrupt harmonic or rhythmic changes.",development,,76,,4
p04_piano_strings__v06,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Keep the foreground minimal while the accompaniment remains even and predictable.",development,,76,,4
p04_piano_strings__v07,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Favor long connected layers with soft attacks and controlled high frequencies.",development,,76,,4
p04_piano_strings__v08,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Use understated recurring motifs with low contrast between adjacent sections.",development,,76,,4
p04_piano_strings__v09,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Maintain an unbroken concentration-friendly flow with restrained bass movement.",development,,76,,4
p04_piano_strings__v10,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Use gradual harmonic motion and a consistent pulse without fills or drops.",development,,76,,4
p04_piano_strings__v11,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Keep musical events evenly spaced with soft articulation and limited ornamentation.",development,,76,,4
p04_piano_strings__v12,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Favor warm balanced sonorities and slow texture changes without climactic gestures.",development,,76,,4
p04_piano_strings__v13,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Use a stable meter and quiet recurring figures with smooth phrase boundaries.",development,,76,,4
p04_piano_strings__v14,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Maintain low distraction through simple voicing and gently evolving ambience.",development,,76,,4
p04_piano_strings__v15,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Keep density moderate and consistent with no sudden pauses or prominent solos.",development,,76,,4
p04_piano_strings__v16,"Instrumental focus music with piano and muted strings, regular pulse, understated motifs, smooth dynamics, no vocals. Use calm cyclical phrasing and subtle variation while preserving an even energy level.",development,,76,,4
p05_warm_synth__v01,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Keep the arrangement sparse and continuous with gradual eight-bar changes.",train,,90,,4
p05_warm_synth__v02,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Use a narrow melodic range and seamless transitions without dramatic accents.",train,,90,,4
p05_warm_synth__v03,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Maintain restrained dynamics and a stable background texture throughout.",train,,90,,4
p05_warm_synth__v04,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Emphasize gentle repetition with subtle timbral evolution and no breakdowns.",train,,90,,4
p05_warm_synth__v05,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Use smooth four-bar phrases and avoid abrupt harmonic or rhythmic changes.",train,,90,,4
p05_warm_synth__v06,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Keep the foreground minimal while the accompaniment remains even and predictable.",train,,90,,4
p05_warm_synth__v07,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Favor long connected layers with soft attacks and controlled high frequencies.",train,,90,,4
p05_warm_synth__v08,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Use understated recurring motifs with low contrast between adjacent sections.",train,,90,,4
p05_warm_synth__v09,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Maintain an unbroken concentration-friendly flow with restrained bass movement.",train,,90,,4
p05_warm_synth__v10,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Use gradual harmonic motion and a consistent pulse without fills or drops.",train,,90,,4
p05_warm_synth__v11,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Keep musical events evenly spaced with soft articulation and limited ornamentation.",train,,90,,4
p05_warm_synth__v12,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Favor warm balanced sonorities and slow texture changes without climactic gestures.",train,,90,,4
p05_warm_synth__v13,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Use a stable meter and quiet recurring figures with smooth phrase boundaries.",train,,90,,4
p05_warm_synth__v14,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Maintain low distraction through simple voicing and gently evolving ambience.",train,,90,,4
p05_warm_synth__v15,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Keep density moderate and consistent with no sudden pauses or prominent solos.",train,,90,,4
p05_warm_synth__v16,"Instrumental focus music with warm synthesizer, steady pulse, restrained harmony, gradual timbral motion, no vocals. Use calm cyclical phrasing and subtle variation while preserving an even energy level.",train,,90,,4
p06_analog_pad__v01,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Keep the arrangement sparse and continuous with gradual eight-bar changes.",train,,86,,4
p06_analog_pad__v02,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Use a narrow melodic range and seamless transitions without dramatic accents.",train,,86,,4
p06_analog_pad__v03,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Maintain restrained dynamics and a stable background texture throughout.",train,,86,,4
p06_analog_pad__v04,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Emphasize gentle repetition with subtle timbral evolution and no breakdowns.",train,,86,,4
p06_analog_pad__v05,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Use smooth four-bar phrases and avoid abrupt harmonic or rhythmic changes.",train,,86,,4
p06_analog_pad__v06,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Keep the foreground minimal while the accompaniment remains even and predictable.",train,,86,,4
p06_analog_pad__v07,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Favor long connected layers with soft attacks and controlled high frequencies.",train,,86,,4
p06_analog_pad__v08,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Use understated recurring motifs with low contrast between adjacent sections.",train,,86,,4
p06_analog_pad__v09,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Maintain an unbroken concentration-friendly flow with restrained bass movement.",train,,86,,4
p06_analog_pad__v10,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Use gradual harmonic motion and a consistent pulse without fills or drops.",train,,86,,4
p06_analog_pad__v11,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Keep musical events evenly spaced with soft articulation and limited ornamentation.",train,,86,,4
p06_analog_pad__v12,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Favor warm balanced sonorities and slow texture changes without climactic gestures.",train,,86,,4
p06_analog_pad__v13,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Use a stable meter and quiet recurring figures with smooth phrase boundaries.",train,,86,,4
p06_analog_pad__v14,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Maintain low distraction through simple voicing and gently evolving ambience.",train,,86,,4
p06_analog_pad__v15,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Keep density moderate and consistent with no sudden pauses or prominent solos.",train,,86,,4
p06_analog_pad__v16,"Instrumental focus music with analog pads, even pulse, sparse tonal motifs, low contrast, no vocals. Use calm cyclical phrasing and subtle variation while preserving an even energy level.",train,,86,,4
p07_synth_plucks__v01,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Keep the arrangement sparse and continuous with gradual eight-bar changes.",train,,94,,4
p07_synth_plucks__v02,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Use a narrow melodic range and seamless transitions without dramatic accents.",train,,94,,4
p07_synth_plucks__v03,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Maintain restrained dynamics and a stable background texture throughout.",train,,94,,4
p07_synth_plucks__v04,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Emphasize gentle repetition with subtle timbral evolution and no breakdowns.",train,,94,,4
p07_synth_plucks__v05,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Use smooth four-bar phrases and avoid abrupt harmonic or rhythmic changes.",train,,94,,4
p07_synth_plucks__v06,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Keep the foreground minimal while the accompaniment remains even and predictable.",train,,94,,4
p07_synth_plucks__v07,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Favor long connected layers with soft attacks and controlled high frequencies.",train,,94,,4
p07_synth_plucks__v08,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Use understated recurring motifs with low contrast between adjacent sections.",train,,94,,4
p07_synth_plucks__v09,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Maintain an unbroken concentration-friendly flow with restrained bass movement.",train,,94,,4
p07_synth_plucks__v10,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Use gradual harmonic motion and a consistent pulse without fills or drops.",train,,94,,4
p07_synth_plucks__v11,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Keep musical events evenly spaced with soft articulation and limited ornamentation.",train,,94,,4
p07_synth_plucks__v12,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Favor warm balanced sonorities and slow texture changes without climactic gestures.",train,,94,,4
p07_synth_plucks__v13,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Use a stable meter and quiet recurring figures with smooth phrase boundaries.",train,,94,,4
p07_synth_plucks__v14,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Maintain low distraction through simple voicing and gently evolving ambience.",train,,94,,4
p07_synth_plucks__v15,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Keep density moderate and consistent with no sudden pauses or prominent solos.",train,,94,,4
p07_synth_plucks__v16,"Instrumental focus music with soft synth plucks, stable beat, simple recurring figures, controlled dynamics, no vocals. Use calm cyclical phrasing and subtle variation while preserving an even energy level.",train,,94,,4
p08_ambient_electronic__v01,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Keep the arrangement sparse and continuous with gradual eight-bar changes.",calibration,,92,,4
p08_ambient_electronic__v02,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Use a narrow melodic range and seamless transitions without dramatic accents.",calibration,,92,,4
p08_ambient_electronic__v03,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Maintain restrained dynamics and a stable background texture throughout.",calibration,,92,,4
p08_ambient_electronic__v04,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Emphasize gentle repetition with subtle timbral evolution and no breakdowns.",calibration,,92,,4
p08_ambient_electronic__v05,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Use smooth four-bar phrases and avoid abrupt harmonic or rhythmic changes.",calibration,,92,,4
p08_ambient_electronic__v06,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Keep the foreground minimal while the accompaniment remains even and predictable.",calibration,,92,,4
p08_ambient_electronic__v07,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Favor long connected layers with soft attacks and controlled high frequencies.",calibration,,92,,4
p08_ambient_electronic__v08,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Use understated recurring motifs with low contrast between adjacent sections.",calibration,,92,,4
p08_ambient_electronic__v09,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Maintain an unbroken concentration-friendly flow with restrained bass movement.",calibration,,92,,4
p08_ambient_electronic__v10,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Use gradual harmonic motion and a consistent pulse without fills or drops.",calibration,,92,,4
p08_ambient_electronic__v11,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Keep musical events evenly spaced with soft articulation and limited ornamentation.",calibration,,92,,4
p08_ambient_electronic__v12,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Favor warm balanced sonorities and slow texture changes without climactic gestures.",calibration,,92,,4
p08_ambient_electronic__v13,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Use a stable meter and quiet recurring figures with smooth phrase boundaries.",calibration,,92,,4
p08_ambient_electronic__v14,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Maintain low distraction through simple voicing and gently evolving ambience.",calibration,,92,,4
p08_ambient_electronic__v15,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Keep density moderate and consistent with no sudden pauses or prominent solos.",calibration,,92,,4
p08_ambient_electronic__v16,"Instrumental ambient electronic focus music, steady mid-tempo pulse, subtle melodic development, no drops, no vocals. Use calm cyclical phrasing and subtle variation while preserving an even energy level.",calibration,,92,,4
p09_muted_guitar__v01,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Keep the arrangement sparse and continuous with gradual eight-bar changes.",train,,82,,4
p09_muted_guitar__v02,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Use a narrow melodic range and seamless transitions without dramatic accents.",train,,82,,4
p09_muted_guitar__v03,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Maintain restrained dynamics and a stable background texture throughout.",train,,82,,4
p09_muted_guitar__v04,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Emphasize gentle repetition with subtle timbral evolution and no breakdowns.",train,,82,,4
p09_muted_guitar__v05,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Use smooth four-bar phrases and avoid abrupt harmonic or rhythmic changes.",train,,82,,4
p09_muted_guitar__v06,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Keep the foreground minimal while the accompaniment remains even and predictable.",train,,82,,4
p09_muted_guitar__v07,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Favor long connected layers with soft attacks and controlled high frequencies.",train,,82,,4
p09_muted_guitar__v08,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Use understated recurring motifs with low contrast between adjacent sections.",train,,82,,4
p09_muted_guitar__v09,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Maintain an unbroken concentration-friendly flow with restrained bass movement.",train,,82,,4
p09_muted_guitar__v10,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Use gradual harmonic motion and a consistent pulse without fills or drops.",train,,82,,4
p09_muted_guitar__v11,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Keep musical events evenly spaced with soft articulation and limited ornamentation.",train,,82,,4
p09_muted_guitar__v12,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Favor warm balanced sonorities and slow texture changes without climactic gestures.",train,,82,,4
p09_muted_guitar__v13,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Use a stable meter and quiet recurring figures with smooth phrase boundaries.",train,,82,,4
p09_muted_guitar__v14,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Maintain low distraction through simple voicing and gently evolving ambience.",train,,82,,4
p09_muted_guitar__v15,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Keep density moderate and consistent with no sudden pauses or prominent solos.",train,,82,,4
p09_muted_guitar__v16,"Instrumental focus music with muted electric guitar, consistent pulse, restrained phrasing, smooth texture, no vocals. Use calm cyclical phrasing and subtle variation while preserving an even energy level.",train,,82,,4
p10_nylon_guitar__v01,"Instrumental focus music with nylon guitar, regular pulse, minimal melodic variation, gentle dynamics, no vocals. Keep the arrangement sparse and continuous with gradual eight-bar changes.",train,,78,,4
p10_nylon_guitar__v02,"Instrumental focus music with nylon guitar, regular pulse, minimal melodic variation, gentle dynamics, no vocals. Use a narrow melodic range and seamless transitions without dramatic accents.",train,,78,,4
p10_nylon_guitar__v03,"Instrumental focus music with nylon guitar, regular pulse, minimal melodic variation, gentle dynamics, no vocals. Maintain restrained dynamics and a stable background texture throughout.",train,,78,,4
p10_nylon_guitar__v04,"Instrumental focus music with nylon guitar, regular pulse, minimal melodic variation, gentle dynamics, no vocals. Emphasize gentle repetition with subtle timbral evolution and no breakdowns.",train,,78,,4
p10_nylon_guitar__v05,"Instrumental focus music with nylon guitar, regular pulse, minimal melodic variation, gentle dynamics, no vocals. Use smooth four-bar phrases and avoid abrupt harmonic or rhythmic changes.",train,,78,,4
p10_nylon_guitar__v06,"Instrumental focus music with nylon guitar, regular pulse, minimal melodic variation, gentle dynamics, no vocals. Keep the foreground minimal while the accompaniment remains even and predictable.",train,,78,,4
p10_nylon_guitar__v07,"Instrumental focus music with nylon guitar, regular pulse, minimal melodic variation, gentle dynamics, no vocals. Favor long connected layers with soft attacks and controlled high frequencies.",train,,78,,4
